date,count
12.12.16,0
15.11.4,100
16.9.28,200
17.3.13,300
17.8.16,400
17.11.11,500
18.1.29,600
18.3.26,700
18.5.16,800
18.6.18,900
18.7.30,1000
18.8.30,1100
18.10.13,1200
18.11.19,1300
18.12.28,1400
19.1.28,1500
19.3.10,1600
19.4.12,1700
19.5.1,1800
19.6.1,1900
19.6.28,2000
19.8.2,2100
19.9.9,2200
19.10.27,2300
19.12.20,2400
20.1.27,2500
20.3.1,2600
20.4.4,2700
20.4.19,2800
20.5.6,2900
20.6.1,3000
20.6.13,3100
20.6.29,3200
20.7.22,3300
20.8.12,3400
20.8.23,3500
20.9.6,3600
20.9.22,3700
20.10.6,3800
20.10.23,3900
20.11.12,4000
20.11.24,4100
20.12.12,4200
21.1.3,4300
21.1.25,4400
21.2.18,4500
21.3.11,4600
21.4.2,4700
21.4.17,4800
21.5.1,4900
21.5.21,5000
21.6.1,5100
21.6.14,5200
21.7.3,5300
21.7.16,5400
21.7.27,5500
21.8.7,5600
21.8.30,5700
21.9.16,5800
21.10.4,5900
21.10.29,6000
21.11.23,6100
21.12.18,6200
22.1.14,6300
22.2.17,6400
22.3.28,6500
22.5.4,6600
22.6.10,6700
22.6.16,6800
22.7.3,6900
22.8.8,7000
22.10.6,7100
22.11.24,7200
23.1.5,7300
23.3.18,7400
23.6.3,7500
